Company,Total Complaints,Average Severity
"General Financial, Inc.",15,1.8
Keystone Credit Collections Inc.,15,1.8
"Alum Financial, LLC",15,1.9333333333333333
HOME FINANCE OF AMERICA,15,1.9333333333333333
Student Loan Debt Agency,15,1.9333333333333333
"Capitol Credit Services, Inc",15,2.0
AIH Receivables Management Inc.,14,1.0
AR Solutions Inc,14,1.0
Accounts Receivable Services,14,1.0
Asset Collections Inc,14,1.0
Blackwater Capital Group LLC.,14,1.0
"BorrowersFirst, Inc.",14,1.0
CashMax LLC,14,1.0
"Collection Service, Inc.",14,1.0
Credit Bureau Central Inc (MS),14,1.0
Credit Bureau of San Luis Obispo & Santa Barbara Counties,14,1.0
"FirstCollect, Inc.",14,1.0
"Freeway Funding, Inc.",14,1.0
HGREG.com,14,1.0
"Hammerman & Hultgren, P.C.",14,1.0
Home Credit Corp. Inc.,14,1.0
Horizon Financial Management,14,1.0
"Insta-Credit Auto Mart, Inc. dba InstaCredit Automart",14,1.0
"J R Brothers Financial, Inc.(Closed)",14,1.0
Keystone Credit Services LLC,14,1.0
"Leafy Financial, LLC",14,1.0
"MEDICAL BUSINESS CONSULTANTS, INC",14,1.0
"Morgan & Associates, P.C.",14,1.0
Old Republic National Title Holding Co.,14,1.0
"SELLING SOURCE, LLC",14,1.0
"Specialized Management Services, Inc.",14,1.0
"THE MONEY HOUSE, INC.",14,1.0
The Cadle Company,14,1.0
"The Commercial Collection Corporation of New York, Inc.",14,1.0
"The Lueder Law Firm, LLC",14,1.0
United Financial Service,14,1.0
Unity Asset Management,14,1.0
"WILSON & ASSOCIATES, PLLC",14,1.0
Zingo Cash Illinois LLC,14,1.0
"CalAtlantic Financial Services, Inc., Scottsdale, AZ Branch",14,1.0714285714285714
"Citizens Savings & Loan Corporation, Chattanooga, TN Branch",14,1.0714285714285714
"Debt Recovery Solutions of Ohio, Inc.",14,1.0714285714285714
"Filo Mortgage, L.L.C.",14,1.0714285714285714
Golden Title Loans LLC,14,1.0714285714285714
Indie Technology DBA Found,14,1.0714285714285714
"Pittenger Law Group, LLC.",14,1.0714285714285714
"Precise Financial Group, LLC",14,1.0714285714285714
eMortgage Funding LLC,14,1.0714285714285714
"Bastion Consumer Funding I, LLC",14,1.1428571428571428
COMMUNITY REINVESTMENT FUND,14,1.1428571428571428
"Credit & Collection Recovery Services, Inc.",14,1.1428571428571428
"Fitzgerald Goldman & Associates, Inc.",14,1.1428571428571428
"Prime Business Service, LLC",14,1.1428571428571428
REMAX,14,1.1428571428571428
"RESMAC, INC.",14,1.1428571428571428
St.John Cobb Inc,14,1.1428571428571428
"Sullivan Asset Management, LLC",14,1.1428571428571428
"Travelex NY, Inc.",14,1.1428571428571428
Universal Envoy Corporation,14,1.1428571428571428
Applied Resolutions Group,14,1.2142857142857142
Bank of China USA,14,1.2142857142857142
CIBC BANK USA,14,1.2142857142857142
"LendUS, LLC",14,1.2142857142857142
"Ashfield Management Services Inc,",14,1.2857142857142858
"DEBT 0, INC",14,1.2857142857142858
GREENSTATE CREDIT UNION,14,1.2857142857142858
"Association Capital Resources, LLC",14,1.3571428571428572
"SB Holdings, Inc.",14,1.3571428571428572
"Superior Adjustment, Inc.",14,1.3571428571428572
United Recovery Worldwide LLC,14,1.3571428571428572
"Interstate Credit & Collection, Inc.",14,1.4285714285714286
"J & B Endeavors, LLC",14,1.4285714285714286
Kadent Corporation,14,1.4285714285714286
D.B.F. COLLECTION CORP.,14,1.5
"Yakima County Credit Service, INC",14,1.5
Park View Credit,14,1.5714285714285714
USForex Inc.,14,1.5714285714285714
ARC Services,14,1.7142857142857142
PROPEL FINANCIAL SERVICES LLC,14,1.7142857142857142
Triple AC Resolutions,14,1.7142857142857142
Credit Solutions LLC,14,1.7857142857142858
"Credit Bureau Financial Services, Inc.",14,2.0
Highland Capital,14,2.0
"1803 Capital, LLC",13,1.0
90 Day Credit Experts,13,1.0
Ardmore Finance Corporation,13,1.0
"Aspen Properties Group, LLC",13,1.0
Bayside Credit,13,1.0
"Central Mortgage Funding, LLC",13,1.0
"Cheek Law Offices, LLC",13,1.0
"Clarkson Law Firm, LLC",13,1.0
"Donut, Inc.",13,1.0
"Financial Service Center of Ohio, LLC",13,1.0
"First Texas Auto Credit, Inc.",13,1.0
"FlexPath Capital, Inc",13,1.0
Fuel Capital Group,13,1.0
Hilco Receivables LLC,13,1.0
"Independence Capital Recovery, LLC",13,1.0
"Intelliloan, Inc",13,1.0
"Leopold & Associates, LLC",13,1.0
"National Debt Holdings, LLC",13,1.0
PLEASANT VALLEY HOME MORTGAGE,13,1.0
Receivable Solutions LLC,13,1.0
"Rhodes, Kelly Assoc Inc",13,1.0
STIFEL FINANCIAL CORP.,13,1.0
"Seidberg Law Offices, P.C.",13,1.0
Toyota Credit De Puerto Rico Corp.,13,1.0
Vertical Screen,13,1.0
Wellmont Health System,13,1.0
"ZenResolve, LLC",13,1.0
Apex Mortgage LLC,13,1.0769230769230769
"Aurora Financial, LLC",13,1.0769230769230769
"CREDIT BUREAU OF FARMINGTON, INC",13,1.0769230769230769
CVB FINANCIAL CORP.,13,1.0769230769230769
"Circleback Lending, Inc.(Closed)",13,1.0769230769230769
"Coastal Finance Company, Inc.",13,1.0769230769230769
FRIC HOLDING CORPORATION,13,1.0769230769230769
Intercoastal Mortgage LLC,13,1.0769230769230769
KEYSTONE EQUIPMENT FINANCE CORP.,13,1.0769230769230769
"Kabompo Holdings, Ltd.",13,1.0769230769230769
Michael J Adams PC,13,1.0769230769230769
Moiharwin Diverisfied Corporation,13,1.0769230769230769
"PMGI, LLC",13,1.0769230769230769
ROCKY MOUNTAIN MORTGAGE COMPANY,13,1.0769230769230769
"SHM Holdings, LLC",13,1.0769230769230769
Universal Technical Institute,13,1.0769230769230769
Alternative Collections LLC,13,1.1538461538461537
BAS Receivable Management Inc.,13,1.1538461538461537
"Continental Collection Agency, Ltd.",13,1.1538461538461537
"LPH, Inc.",13,1.1538461538461537
"MCS MORTGAGE BANKERS, INC.",13,1.1538461538461537
"National Finance Company, Inc.",13,1.1538461538461537
"RSB Equity Group, LLC",13,1.1538461538461537
SOUTHEAST MORTGAGE OF GA INC,13,1.1538461538461537
"Servion, Inc.",13,1.1538461538461537
Absolute Home Mortgage Corporation,13,1.2307692307692308
"Bowen & Associates Recovery, Inc",13,1.2307692307692308
Home Mortgage Alliance Corp. (HMAC),13,1.2307692307692308
PAY-O-MATIC,13,1.2307692307692308
Payday America Inc.,13,1.2307692307692308
Tidalwave Finance Corporation,13,1.2307692307692308
Asset Recovery Inc,13,1.3076923076923077
CERTAINTY HOME LOANS LLC,13,1.3076923076923077
Legal Action Bureau Inc,13,1.3076923076923077
Man-Data Inc.,13,1.3076923076923077
"Morgan & Pottinger, PSC",13,1.3076923076923077
Creditors Service Bureau Inc,13,1.3846153846153846
Gaba Law Corporation,13,1.3846153846153846
"Solidifi US, Inc.",13,1.4615384615384615
"TimeMark Solutions, Inc",13,1.4615384615384615
Credit Glory LLC,13,1.5384615384615385
"Debtsy Holdings, Inc.",13,1.5384615384615385
"Credit Bureau of Columbia, Inc.",13,1.6153846153846154
Enterprise Acquisitions,13,1.8461538461538463
"ORO OC, LLC",13,1.8461538461538463
"CONSUMER PROTECTION ASSISTANCE COALITION, INC",13,1.9230769230769231
"A+ Loans, Inc.",12,1.0
Anselmo Lindberg Oliver LLC,12,1.0
Ascent Holding Co,12,1.0
"Atlas Services, Inc.",12,1.0
"August Real Estate Investments, LLC",12,1.0
"CBK, Inc.",12,1.0
Camino Financial Inc.,12,1.0
"Creditech, Inc.",12,1.0
DRIVE NOW ACCEPTANCE LLC,12,1.0
Five Lakes Agency,12,1.0
"Garner & Conner, PLLC",12,1.0
"Giact Systems, LLC",12,1.0
"Gordon & Wong Law Group, P.C.",12,1.0
Granite Bay Acceptance Inc.,12,1.0
"Heavner, Beyers & Mihlar LLC",12,1.0
Illinois Lending Corporation,12,1.0
"Jones, Robin & Robin, P.C.",12,1.0
"Jormandy, LLC",12,1.0
"Knight & Hooper, PLLC",12,1.0
Law Offices of Goldsmith & Hull A.P.C.,12,1.0
"Lefkoff, Rubin, Gleason & Russo, P.C.",12,1.0
Lien Receivables LLC,12,1.0
Lowcountry Credit Inc.,12,1.0
MANN FINANCIAL INC.,12,1.0
MEGA CAPITAL FUNDING INC.,12,1.0
MID FLORIDA FINANCING LLC,12,1.0
Marine One Acceptance Corporation,12,1.0
Master Finance Company,12,1.0
"NEW WORLD COLLECTIONS, INC.",12,1.0
Procollect Services LLC,12,1.0
Regional Credit Solutions,12,1.0
Regional Recovery Services,12,1.0
"TFC Group, LLC",12,1.0
Total Auto Finance,12,1.0
"AR Audit Services, Inc",12,1.0833333333333333
Accudata Credit Systems LLC,12,1.0833333333333333
"American Financial Credit Services, Inc.",12,1.0833333333333333
"Brown Law, PLLC",12,1.0833333333333333
"CORNERSTONE MORTGAGE, INC.",12,1.0833333333333333
EIC Enterprises,12,1.0833333333333333
"First Premier Financial, Inc.",12,1.0833333333333333
General Credit Service Inc.,12,1.0833333333333333
"HarrisLoftus, PLLC",12,1.0833333333333333
"Jerold Kaplan Law Office, P.C.",12,1.0833333333333333
"Pacific Home Loans, Inc",12,1.0833333333333333
"Point Digital Finance, Inc.",12,1.0833333333333333
SCS Credit Corporation,12,1.0833333333333333
"Vinci Law Office, LLC",12,1.0833333333333333
"Aequitas Capital Opportunities Fund, LP",12,1.1666666666666667
"Curtwright & Klein, LLC",12,1.1666666666666667
"FIRST CASH FINANCIAL SERVICES, INC.",12,1.1666666666666667
Interstate Credit Control,12,1.1666666666666667
"Joseph M. Tobin, PC",12,1.1666666666666667
LOAN SIMPLE INC.,12,1.1666666666666667
"American Cycle Finance, Inc.",12,1.25
INTERNATIONAL BANCSHARES CORPORATION,12,1.25
"Kirschbaum, Nanney, Keenan & Griffin, P.A.",12,1.25
MORTGAGE INVESTORS GROUP,12,1.25
Nextep Funding LLP,12,1.25
"Zeller & Associates, LLC",12,1.25
Arco Collection Services LLC,12,1.3333333333333333
NORTHERN OHIO INVESTMENT COMPANY,12,1.3333333333333333
OPEN MORTGAGE LLC,12,1.3333333333333333
ALCOVA MORTGAGE LLC,12,1.4166666666666667
"BRAZOS HIGHER EDUCATION AUTHORITY, INC.",12,1.4166666666666667
"Denovus Corporation, Ltd.",12,1.4166666666666667
Foxstar Energy Resources LLC DBA Federal Student Loans Council,12,1.4166666666666667
"SERVICE 1ST MORTGAGE, INC.",12,1.4166666666666667
Chaparral Inc,12,1.5
"Paragon Subrogation Services, Inc",12,1.5
Students Come First,12,1.5
"Epn, Inc.",12,1.6666666666666667
"Kingston Financial, LLC",12,1.6666666666666667
"REPUBLIC MORTGAGE HOME LOANS, LLC",12,1.6666666666666667
"ZOA, LLC",12,1.6666666666666667
"Account Recovery Service, Inc. (WI)",12,1.75
"Auto Acceptance, LLC",12,1.75
"Nudelman, Klemm & Golub, P.C.",12,1.75
United Collection Service Inc (Closed),12,1.75
Expert Credit Sweeps,12,1.8333333333333333
"National Account Services, Inc.",12,1.8333333333333333
"Greenback Recovery Group, LLC",12,1.9166666666666667
"PMR Progressive, LLC",12,1.9166666666666667
"(Former)Shapiro, Swertfeger & Hasty, LLP",12,2.0
ACH Recovery Solutions,12,2.0
"Brown Olcott, PLLC",12,2.0
"Expedite Financial, Inc",12,2.0
National Student Debt Advisory Corp.,12,2.0
"Action Credit, LLC",11,1.0
"Advantage Auto Sales, Inc.",11,1.0
"Axela Technologies, Inc",11,1.0
"BCG Equities, LLC",11,1.0
"BetterNOI, LLC",11,1.0
"Buckles & Buckles, P.L.C.",11,1.0
Business Financing Corporation,11,1.0
"CARTER-JONES COLLECTION SERVICE, INC",11,1.0
COOPER HEALTH SYSTEM,11,1.0
"Celentano, Stadtmauer & Walentowicz, LLP",11,1.0
"Davis and Goldmark, Inc.",11,1.0
Dodge Enterprises Inc.,11,1.0
"Doyle & Hoefs, LLC",11,1.0
"Franklin Mortgage Solutions, LLC",11,1.0
"G. Reynolds Sims & Associates, P. C.",11,1.0
"GEMINI CAPITAL GROUP, LLC",11,1.0
"Harvest Credit Management VII, LLC",11,1.0
"Hawthorn Recovery Services, Inc.",11,1.0
ICQ Search and Recovery Inc.,11,1.0
JLB CORPORATION,11,1.0
"Kass Shuler, P.A.",11,1.0
Lawson Hamilton & Associates,11,1.0
"M. Richard Epps, P.C.",11,1.0
"Millsap & Singer, LLC",11,1.0
"Nobilis Credit Management, LLC.",11,1.0
"Oliver Adjustment Company of Kenosha & Racine, Inc",11,1.0
"Portnoff Law Associates, Ltd.",11,1.0
Revenue Recovery Bureau (Closed),11,1.0
South Carolina State Housing Finance and Development Authority,11,1.0
"South River Mortgage, LLC",11,1.0
"Stride Funding, Inc.",11,1.0
"Summit Collection Services, Inc.",11,1.0
Tenant Data Services Inc,11,1.0
"The DeGrasse Law Firm, P.C.",11,1.0
The Hallstrom Law Firm PLLC,11,1.0
"ThunderRoad Financial, LLC",11,1.0
"Time Investment Company, Inc.",11,1.0
"Timothy C. Runyan, P.C.",11,1.0
"United Funding Logistics, LLC",11,1.0
Viva Finance Inc.,11,1.0
Wave Financial USA Inc.,11,1.0
Westgate Arbitration INC (Closed),11,1.0
Aura Mortgage Advisors LLC,11,1.0909090909090908
"B9, Inc.",11,1.0909090909090908
"ClosingMark Financial Services, LLC",11,1.0909090909090908
"Credit Bureau of Jonesboro, Inc.",11,1.0909090909090908
"Credits, Incorporated",11,1.0909090909090908
Edward F Bukaty III,11,1.0909090909090908
Empire Resolutions Group,11,1.0909090909090908
"Hidden Oak Group, Inc.",11,1.0909090909090908
MODERN FINANCE COMPANY,11,1.0909090909090908
"PACE Funding Group, LLC",11,1.0909090909090908
Personal Finance Center,11,1.0909090909090908
Redfin Corporation,11,1.0909090909090908
"Splash Financial, Inc.",11,1.0909090909090908
"Total Recovery Services, Inc",11,1.0909090909090908
"VNU Group, LLC",11,1.0909090909090908
Vargo & Janson PC,11,1.0909090909090908
ALPHA MIDCO INC,11,1.1818181818181819
Acknowledge Debt Resolutions,11,1.1818181818181819
C2 Financial Corporation,11,1.1818181818181819
"Credit Shop, Incorporated",11,1.1818181818181819
FLORIDA HOME TRUST MORTGAGE,11,1.1818181818181819
"GLENN ASSOCIATES MID-ATLANTIC, INC",11,1.1818181818181819
"Jeffrey G. Lerman, P.C.",11,1.1818181818181819
"MILEND, INC.",11,1.1818181818181819
Midwest Finance Corporation,11,1.1818181818181819
"Neighborhoods United, LLC",11,1.1818181818181819
"Presto Auto Loans, Inc.",11,1.1818181818181819
"Quad Corporation, Inc.",11,1.1818181818181819
The Shindler Law Firm,11,1.1818181818181819
UNIVERSAL LENDING CORP.,11,1.1818181818181819
"Upstate Collection Center, Inc.",11,1.1818181818181819
WOOD FINANCE INC DBA PREMIER ACCEPTANCE,11,1.1818181818181819
Wharthog Ventures LLC dba Loans Not Sharks,11,1.1818181818181819
" Lippman Recupero, LLC",11,1.1818181818181819
"Bernhardt and Strawser, P.A.",11,1.2727272727272727
Budget Mortgage Corp.,11,1.2727272727272727
"CALIFORNIA RECOVERY BUREAU, INC",11,1.2727272727272727
"FIRST FINANCIAL BANKSHARES, INC.",11,1.2727272727272727
Goldcar Lending Inc.,11,1.2727272727272727
"Integrity Asset Partners, Ltd.",11,1.2727272727272727
Northwestern Mediation Services,11,1.2727272727272727
POLARIS HOME FUNDING CORP,11,1.2727272727272727
"Plutos Sama, LLC",11,1.2727272727272727
"Relay Financial (US), Corp.",11,1.2727272727272727
Account Control Bureau,11,1.3636363636363635
Hanna Holdings Inc,11,1.3636363636363635
"Manor Resources, LLC",11,1.3636363636363635
"PROFESSIONAL COLLECTION SERVICE, INC",11,1.3636363636363635
Robinson & Associates,11,1.3636363636363635
United Revenue Collection Service,11,1.3636363636363635
"WVH, LLC",11,1.3636363636363635
"Barrett Financial Group, L.L.C.",11,1.4545454545454546
"Capital Mitigation Services, LLC",11,1.4545454545454546
Cobalt Mortgage,11,1.4545454545454546
"Dorough & Dorough, LLC",11,1.4545454545454546
Law Office of Charles G. McCarthy Jr. & Assoc.,11,1.4545454545454546
"Mirand Response Systems, Inc.",11,1.4545454545454546
"Crescent City Credit Recovery, Inc.",11,1.5454545454545454
"The Wilber Law Firm, P.C.",11,1.5454545454545454
Central Business Funding,11,1.6363636363636365
"Southwestern Investors Group, LLC",11,1.6363636363636365
"BTS Motors, LLC",11,1.8181818181818181
"Law Offices of Robert S. Gitmeid & Associates, PLLC",11,1.8181818181818181
"Student Zoom, LLC",11,1.8181818181818181
"Absolute Mortgage Company, Inc.",11,1.9090909090909092
CLX Systems/ Westwood Management,11,1.9090909090909092
E Mortgage,11,1.9090909090909092
Rosen Management Services Inc.,11,1.9090909090909092
United Portfolio Corp.,11,1.9090909090909092
Wright & Lerch Attorneys At Law,11,1.9090909090909092
Blackhawk Finance,11,2.0
"Brent D. Stamps, Attorney at Law",11,2.0
Fleet Mortgage Corp,11,2.0
"Jomax, LLC",11,2.0
"LK Manley, Inc",11,2.0
"Prohealth Care, Inc",11,2.0
Select Resource Group,11,2.0
"Whetstone Partners, LLC",11,2.0
AmOne Corp.,10,1.0
"Bonded Collectors of Wisconsin, Inc",10,1.0
"CJA Auto Sales, Inc.",10,1.0
"CREDIT BUREAU OF LEWISTON-CLARKSTON, INC",10,1.0
"Caddis Funding, LLC",10,1.0
Castle Mortgage Corporation dba Excelerate Capital,10,1.0
Century Debt Solutions Inc.,10,1.0
"Century Finance, Inc.",10,1.0
Cohen Kaplan Tulowitz LLC,10,1.0
"Colten Mortgage, LLC",10,1.0
"Commercial Industries Services Company, Inc.",10,1.0
Credimatico LLC,10,1.0
Credit and Receivables Services Inc.,10,1.0
"DK, Consulting, Inc dba Huntington Financial Services",10,1.0
"Dana & Pariser Co.,L.P.A.",10,1.0
"Debois, Inc.",10,1.0
Duane Morris LLP,10,1.0
"Dynamic Collectors, Incorporated",10,1.0
EXCEL FINANCE COMPANY,10,1.0
"FX Quick Cash, LLC",10,1.0
Family First Funding LLC,10,1.0
Filaport Acquisitions,10,1.0
Finco Holding Company LLC,10,1.0
"Great Lakes Capital Management, LLC",10,1.0
Hawk Inc,10,1.0
Iconic Mortgage Corp.,10,1.0
Kirkland Financial LLC,10,1.0
"Liberty Credit Services, Inc.",10,1.0
"Livingston Financial, LLC",10,1.0
Makower Abbate Guerra Wegner Vollmer PLLC,10,1.0
"MedShield, Inc.",10,1.0
Modoc Tribe Financial Services Authority,10,1.0
"NEW IMAGITAS, INC",10,1.0
"National Creditors Connection, Inc",10,1.0
"North Georgia Regional Collection Agency, Inc.",10,1.0
PACIFIC CAPITAL EXCHANGE,10,1.0
Pono Ventures Inc.,10,1.0
"Propel, Inc.",10,1.0
"ROAD Auto Finance, LLC",10,1.0
"Resurgence Financial, LLC",10,1.0
"Rochester Home Equity, Inc",10,1.0
"Rodriguez Fernandez Law Offices, LLC",10,1.0
SAMUEL I WHITE PC,10,1.0
"The McHughes Law Firm, LLC",10,1.0
"The Sayer Law Group, P.C.",10,1.0
"UNITED ONE RESOURCES, INC.",10,1.0
"Western Collection Bureau, Inc.",10,1.0
"Creditor Claims of America, Inc.",10,1.1
Cstone Mortgage Inc,10,1.1
Elite Recovery Group LLC,10,1.1
"Encircle Collections, Inc.",10,1.1
"Equinox Financial Management Solutions, Inc.",10,1.1
First Mortgage Solutions,10,1.1
Goshen Mortgage LLC,10,1.1
Houston Finance Co.,10,1.1
"Key Management Company of Missouri, LLC.",10,1.1
"Law Offices of Ed Overcash, LLC",10,1.1
"LoanFlight Lending, LLC",10,1.1
"PRIMAVERA FINANCIAL, INC.",10,1.1
"Penncro Associates, Inc.",10,1.1
"Reliable Auto Finance, Inc.",10,1.1
Roseberry Inc.,10,1.1
SHAPESHIFT AG,10,1.1
"The Allen Daniel Associates, Inc.",10,1.1
"The Law Offices of Gregory Alexandrides, LLC",10,1.1
Trans National Credit Corporation,10,1.1
"AXIA FINANCIAL, LLC",10,1.2
Bennett Law PLLC,10,1.2
"Caliver Beach Mortgage, LLC",10,1.2
"Carmen V. Porreca, P.C.",10,1.2
"Double Diamond-Delaware, Inc.",10,1.2
FIRST CREDIT FINANCE,10,1.2
Finmax Smart Capital LLC,10,1.2
General Collection Co.,10,1.2
"Globe Acceptance, Inc.",10,1.2
"K STREET FINANCE, INC.",10,1.2
Law Offices of Donald R Conrad P.C.,10,1.2
"MIDWEST EQUITY MORTGAGE, LLC",10,1.2
Moneydart Global Services Inc.,10,1.2
"NARTEY LAW GROUP, LLC",10,1.2
Residential Finance Corporation (Closed),10,1.2
"Star Loans of Texas, Inc.",10,1.2
"Tsarouhis Law Group, LLC",10,1.2
WALL STREET MORTGAGE BANKERS,10,1.2
ATLANTIC HOME LOANS INC.,10,1.3
"American International Finance, Inc.",10,1.3
CHERRY TECHNOLOGIES INC.,10,1.3
First Capital Recovery Inc.,10,1.3
First Colony Mortgage Corp.,10,1.3
LOAN SERVICING GROUP,10,1.3
"Professional Adjustment Bureau of Mid-America, Inc.",10,1.3
"Professional Recovery, Inc.",10,1.3
"Prospect Financial Group, Inc",10,1.3
Roberts Markel Weinberg Butler Hailey PC,10,1.3
"Simple Cash Loans, Inc.,",10,1.3
Start Connecting dba USA Student Debt Relief,10,1.3
Best Capital Funding,10,1.4
Excella Recovery Group,10,1.4
F&L Marketing Enterprises LLC,10,1.4
"Lend Smart Mortgage, LLC",10,1.4
"Merchants Financial Guardian, Inc.",10,1.4
National Payment Solutions of New York LLC,10,1.4
"Northeast Receivables Management, LLC",10,1.4
"WCS LENDING, LLC",10,1.5
Diverse Financial Enterprises,10,1.6
GUARANTEED HOME MORTGAGE COMPANY,10,1.6
"Strategic Financial Solutions, LLC",10,1.6
Total Recovery Solutions,10,1.6
"A & S Collection Associates, Inc.",10,1.7
Federated Student Loan Services,10,1.7
"IMPERIAL CREDIT SYSTEMS, INC.",10,1.7
Infinity Capital Group,10,1.7
Law Office of Regent and Associates,10,1.7
"Onward Credit Holdings, LLC",10,1.7
"RMI Services, LLC",10,1.7
"Advanced Collection Services, LTD",10,1.8
"Gemini Direct LLC, dba Credit Innovation Group",10,1.8
"Security Auto Loans, Inc.",10,1.8
"Cascade Mortgage, Inc.",10,1.9
"Lexington Consumer Advocacy, LLC",10,1.9
United National Services,10,1.9
GSA Commercial Asset Management,10,2.0
"Investigative Concepts, Inc.",10,2.0
"Redstone Funding, LLC",10,2.0
Top Flight Assistance (Top Flight Credit Assistance),10,2.0
"A+ Financial Services, Inc.",9,1.0
ADESA CORPORATION,9,1.0
APG Financial Inc,9,1.0
Accounts Interchange Group LLC,9,1.0
"Allied Recovery Solutions, Inc.",9,1.0
American Mortgage Service Company,9,1.0
Asset Recovery Bureau LLC,9,1.0
CFS2 Inc.,9,1.0
Capital Asset Recovery INC DBA Jacobson and Wright,9,1.0
"Caribou Financial, Inc.",9,1.0
"Cascade Creditors Service, llc",9,1.0
"Chek Cash, Inc.",9,1.0
"Cherry Creek Corporate, LLC",9,1.0
Consumer Solutions Group,9,1.0
Credence Funding Corporation,9,1.0
"Cuzco Capital Investment Management, LLC",9,1.0
ENTERPRISE FINANCIAL SERVICES CORP,9,1.0
"Exodus Movement, Inc.",9,1.0
FUTURE FINANCE COMPANY,9,1.0
Flat Six Holdings Inc.,9,1.0
"Fold, Inc.",9,1.0
"Franks Adjustment Bureau, Inc.",9,1.0
Groundfloor Finance Inc.,9,1.0
HFS Financial LLC,9,1.0
"Hollins & McVay, P.A.",9,1.0
"Jon B. Sage, P.A. dba Sage Law Offices",9,1.0
Keystone Law LLC,9,1.0
LL Services Parent LLC,9,1.0
Lacy Katzen LLP,9,1.0
"Law Offices of Crystal Moroney, P.C.",9,1.0
Loan Cabin Inc.,9,1.0
Louisiana Bureau of Credit Control Inc.,9,1.0
"Lugano Capital, Inc. d/b/a Start Auto Finance",9,1.0
Meritize Financial Inc.,9,1.0
"Neighborhood Autos, LLC",9,1.0
Nickel City Group LLC,9,1.0
"PLM Lender Services, Inc.",9,1.0
"Road Runner Collection Services, Inc.",9,1.0
"Ronald H. Reynolds, Inc.",9,1.0
"Snap Recovery, Inc.",9,1.0
"Stein Law, P.C.",9,1.0
"Student Loan Solutions, LLC",9,1.0
Tesani Management Inc,9,1.0
"Tona Mortgage, LLC",9,1.0
"Trott Law, P.C.",9,1.0
"CENDERA FUNDING, INC.",9,1.1111111111111112
"Complete Collection Services, Inc.",9,1.1111111111111112
"Credit Adjustment Services of Harrisburg, Inc",9,1.1111111111111112
"Credit Service of Central Washington, Inc.",9,1.1111111111111112
"Credit Services, Inc.",9,1.1111111111111112
"Creekside Finance, Inc.",9,1.1111111111111112
Direct Account Management,9,1.1111111111111112
FRANKLIN LOAN CORPORATION,9,1.1111111111111112
Metacorp LLC,9,1.1111111111111112
Minnesota Office of Higher Education,9,1.1111111111111112
NATIONWIDE EQUITIES CORP,9,1.1111111111111112
"National Bureau of Collections, Inc",9,1.1111111111111112
National Mediation Services,9,1.1111111111111112
Next Level Finance Partners  LLC,9,1.1111111111111112
"Nudge Funding, LLC",9,1.1111111111111112
PERSIAN ACCEPTANCE CORP,9,1.1111111111111112
Panhandle-Plains Student Finance Corporation,9,1.1111111111111112
Prime Choice Funding Inc.,9,1.1111111111111112
"Regional Collection Services, Inc.",9,1.1111111111111112
STAR ONE CREDIT UNION,9,1.1111111111111112
"SW Linear Investment Group, LLC",9,1.1111111111111112
"Sharinn & Lipshie, P.C.",9,1.1111111111111112
United Credit Service Inc,9,1.1111111111111112
"Venture Financial Services, Inc.",9,1.1111111111111112
WILLOW BEND MORTGAGE,9,1.1111111111111112
"Zeus Mortgage, Ltd.",9,1.1111111111111112
ACCOUNTS ADVOCATE AGENCY,9,1.2222222222222223
American Location Specialists,9,1.2222222222222223
"Business Law Group, P.A.",9,1.2222222222222223
"CCI Financial, Inc",9,1.2222222222222223
CEX.IO CORP.,9,1.2222222222222223
CU MORTGAGE SERVICES INC.,9,1.2222222222222223
Cumulus Funding LLC,9,1.2222222222222223
Homespire Mortgage Corp,9,1.2222222222222223
"Life Line Billing Systems, LLC",9,1.2222222222222223
NE PROCESSING LLC,9,1.2222222222222223
Red Bishop LLC,9,1.2222222222222223
"STATE BANKSHARES, INC.",9,1.2222222222222223
The Eastbrooke Group LLC,9,1.2222222222222223
"Tiburon Financial, LLC",9,1.2222222222222223
"V.I.P. MORTGAGE, INC.",9,1.2222222222222223
VIAMERICAS CORPORATION,9,1.2222222222222223
"Vitek Real Estate Industries Group, Inc.",9,1.2222222222222223
ACCOUNT SERVICES INC.,9,1.3333333333333333
ALL WESTERN MORTGAGE,9,1.3333333333333333
"Credit Service of Logan, Inc.",9,1.3333333333333333
"Granite Creditors Service, Inc.",9,1.3333333333333333
LAW OFFICE OF JOHN E. LINDNER P.A.,9,1.3333333333333333
"Main Street Holdings, Inc.",9,1.3333333333333333
"Pennsylvania Auto Credit, Inc.",9,1.3333333333333333
Speedee Cash Management,9,1.3333333333333333
"Taylor Law, PLLC",9,1.3333333333333333
UnBanked,9,1.3333333333333333
"VICTORIAN FINANCE, LLC",9,1.3333333333333333
Whitestone Financial Holdings LLC,9,1.3333333333333333
"1 STOP MONEY CENTERS, LLC",9,1.4444444444444444
"A.C.S. Companies, Inc. I",9,1.4444444444444444
"Executive Acquisitions Group, LLC",9,1.4444444444444444
GREATER SUBURBAN ACCEPTANCE CORPORATION,9,1.4444444444444444
The Hamilton Law Association,9,1.4444444444444444
"Zealandia Holding Company, Inc.",9,1.4444444444444444
B & B FINANCIAL SERVICES INC,9,1.5555555555555556
"Becker and Klein, LLC",9,1.5555555555555556
Docuservpro dba Simple Repayment,9,1.5555555555555556
Envios de Valores La Nacional Corp.,9,1.5555555555555556
